PRCP,TAVG,TMAX,TMIN
0.18,53,57,48
0.33,42,44,38
0.05,38,42,38
0,36,50,28
0.03,47,54,29
0.04,43,48,38
0.27,48,54,38
0.1,44,51,39
0.28,51,59,40
0,44,42,40
0.11,41,50,35
0,44,45,40
0,36,40,35
0.25,39,51,32
0.15,40,42,34
0,35,38,34
0,35,40,33
0,34,41,30
0,31,39,24
0.06,38,40,25
0,35,40,34
0,35,46,32
0.09,44,51,30
0,38,47,33
0.06,47,53,34
0,42,45,38
0.05,43,49,38
0.02,40,40,36
0.22,35,40,34
0,38,44,33
0,36,41,34
0,33,40,29
0,31,40,28
0,30,41,22
0,32,42,23
0,39,46,26
0,40,43,35
0,41,46,37
0,33,36,28
0,37,41,31
0,37,41,35
0,39,43,33
0.01,41,47,37
0.11,43,48,39
0,43,50,38
0.24,41,51,32
0,40,46,39
0,40,50,32
0.04,49,55,40
0.09,44,48,44
0,37,44,34
0.02,36,45,33
0.18,41,52,33
0.15,37,43,33
0.1,40,47,34
0.08,48,54,39
0,44,46,43
0,40,48,34
0.02,48,54,38
0.32,38,42,38
0.11,35,41,33
0.01,36,43,33
0,40,50,34
0,47,52,38
0,48,54,47
0.13,53,59,48
0.04,45,51,45
0.03,45,58,31
0.02,42,53,36
0.1,44,55,35
0.28,45,54,36
0,39,49,31
0,40,43,32
0,41,45,39
0,42,46,41
0,39,47,35
0,36,52,26
0,40,53,29
0,46,52,38
0,42,53,34
0,42,57,29
0.01,45,53,43
0.06,39,49,33
0.26,39,49,32
0.01,44,52,40
0.02,44,55,36
0.42,51,59,44
0.02,44,50,41
0.35,44,53,37
0.1,43,50,42
0.33,43,51,37
0.26,43,51,41
0,48,54,42
0,49,60,42
0,48,56,42
0,48,63,35
0,48,64,37
0,48,66,41
0,49,65,36
0.21,48,62,36
0.23,44,53,37
0.08,44,52,40
0,50,61,36
0,54,65,50
0.01,47,54,42
0,45,53,41
0,44,57,34
0,47,52,44
0,45,52,39
0,47,56,41
0,46,60,34
0,47,62,38
0,50,64,38
0.3,49,60,39
0.26,45,49,45
0.01,39,53,29
0.05,39,51,29
0.13,42,51,34
0.17,44,54,37
0,44,55,37
0.46,44,52,37
0.98,44,52,43
0.2,52,63,43
0.39,50,59,44
0.2,48,56,45
0.02,48,58,44
0,46,55,42
0.56,45,51,40
0.05,50,60,43
0.03,55,62,49
0.01,55,63,51
0,51,58,46
0,46,55,38
0.07,48,54,46
0.01,49,60,37
0.01,49,58,42
0.14,49,57,44
0.11,47,55,45
0.18,46,56,41
0,48,60,38
0,53,64,41
0,56,64,52
0.01,53,68,45
0.01,54,62,50
0,53,63,49
0,53,63,50
0.11,50,57,45
0.18,50,59,43
0.02,48,58,43
0.22,47,57,38
0.07,49,56,45
0.18,47,56,40
0.01,51,61,44
0,53,62,43
0.08,54,63,45
0.02,53,63,49
0.02,52,60,45
0,51,62,41
0,49,57,44
0,50,61,37
0,52,63,42
0,53,61,45
0,56,63,51
0,54,65,51
0,51,62,44
0,56,65,44
0,62,73,54
0.02,61,68,61
0,55,66,46
0.01,57,66,50
0,62,71,56
0,55,64,51
0,55,66,47
