"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-01-01","12.30",,"0.00","0.0","0.0","21","28","17","  260","  260","21.9","33.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-01-02","4.03",,"0.00","0.0","0.0","19","25","8","  240","  260","15.0","19.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-01-03","5.82",,"0.20","3.0","0.0","21","32","10","  130","  140","14.1","19.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-01-04","10.07",,"0.18","2.0","3.1","28","32","8","  320","  310","21.9","30.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-01-05","9.62",,"0.01","0.0","5.1","7","9","1","  270","  270","23.0","31.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-01-06","10.29",,"0.00","0.0","3.9","7","16","2","  240","  230","18.1","25.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-01-07","13.65",,"0.10","1.0","3.1","5","10","-2","  320","  330","28.0","40.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-01-08","13.65",,"0.10","1.0","3.1","9","16","5","  180","  260","21.0","27.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-01-09","9.40",,"0.01","0.0","3.9","8","12","2","  260","  300","18.1","25.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-01-10","9.62",,"0.00","0.0","3.9","6","18","0","  250","  240","21.0","30.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-01-11","5.82",,"0.00","0.0","4.0","18","26","15","  210","  220","13.0","18.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-01-12","10.07",,"0.02","1.5","3.9","19","23","2","  330","  320","25.1","31.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-01-13","3.58",,"0.00","0.0","3.9","3","16","-10","  200","  200","10.1","13.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-01-14","4.92",,"0.00","0.0","3.9","5","23","-14","  190","  270","12.1","15.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-01-15","10.51",,"0.02","0.2","3.9","24","33","20","  310","  320","21.9","31.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-01-16","7.83",,"0.01","0.6","5.1","18","25","-8","  310","  320","19.9","29.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-01-17","10.96",,"0.00","0.0","5.1","14","38","-3","  150","  160","25.9","32.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-01-18","8.05",,"0.04","0.2","4.0","34","38","26","  310","  320","15.0","19.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-01-19","6.93",,"0.00","0.0","3.1","21","26","2","  340","  320","16.1","21.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-01-20","1.34",,"0.00","0.0","3.1","9","23","-2","   40","   40","12.1","13.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-01-21","0.89",,"0.00","0.0","3.1","9","25","-3","   90","   90","8.9","10.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-01-22","4.47",,"0.00","0.1","3.1","15","30","4","  280","  290","15.0","19.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-01-23","9.84",,"0.00","0.0","3.1","25","37","21","  230","  230","17.0","23.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-01-24","9.62",,"0.01","0.0","3.1","33","37","18","  340","  340","23.9","31.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-01-25","6.26",,"0.00","0.0","3.1","15","18","-2","   30","   50","17.0","21.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-01-26","3.58",,"0.01","0.4","3.1","6","20","-6","  110","  100","13.0","16.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-01-27","6.04",,"0.00","0.3","3.9","16","21","-2","   40","   40","14.1","15.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-01-28","4.25",,"0.00","0.0","3.9","8","29","-5","  160","  170","15.0","19.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-01-29","10.07",,"0.43","5.0","5.9","26","30","15","  320","  320","23.0","33.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-01-30","10.29",,"0.02","0.0","5.9","12","15","2","  320","  330","25.9","35.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-01-31","7.16",,"0.03","0.0","5.9","15","27","6","  330","  330","18.1","23.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-02-01","12.53",,"0.00","0.2","5.9","11","16","6","   30","   30","19.9","23.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-02-02","9.40",,"0.00","0.0","5.9","7","14","-3","   10","   20","18.1","23.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-02-03","5.82",,"0.00","0.0","5.9","12","24","7","  260","  260","14.1","19.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-02-04","6.71",,"0.02","0.2","5.9","16","21","2","  320","  330","21.0","28.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-02-05","7.61",,"0.00","0.0","5.9","6","17","-6","  200","  180","17.0","23.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-02-06","8.28",,"0.00","0.0","5.9","19","29","14","  240","  310","16.1","23.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-02-07","8.50",,"0.21","2.0","5.9","23","25","20","  100","   90","21.0","25.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-02-08","13.42",,"0.20","3.2","5.9","18","21","13","   60","   90","21.0","25.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-02-09","7.83",,"0.04","2.0","11.0","12","15","3","   40","  330","15.0","18.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-02-10","4.70",,"0.00","0.0","11.0","9","23","-6","   40","  140","14.1","16.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-02-11","9.84",,"0.04","0.7","11.0","21","28","11","  300","  310","21.0","31.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-02-12","13.65",,"0.01","1.0","13.0","7","12","-5","  330","  330","25.1","33.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-02-13","7.61",,"0.03","0.6","13.0","0","18","-16","  200","  220","17.0","21.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-02-14","18.34",,"0.00","0.0","13.0","8","15","-8","  330","  330","31.1","40.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-02-15","8.50",,"0.00","0.0","13.0","-8","-1","-25","  340","  340","21.9","28.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-02-16","3.13",,"0.00","0.0","11.8","-9","15","-27","  190","  180","10.1","13.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-02-17","6.26",,"0.00","0.0","11.8","9","20","4","  280","  260","14.1","19.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-02-18","8.28",,"0.00","0.0","11.8","6","11","-4","  320","  330","21.9","28.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-02-19","8.95",,"0.00","0.0","11.8","-5","-3","-16","  330","  320","21.0","28.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-02-20","8.72",,"0.02","0.3","11.8","-8","11","-29","  180","  170","18.1","23.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-02-21","6.04",,"0.00","0.0","11.8","14","25","8","  360","  190","14.1","18.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-02-22","10.07",,"0.00","0.0","11.8","11","14","-9","  320","  320","21.9","30.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-02-23","8.05",,"0.00","0.0","11.8","-5","10","-17","  220","  220","17.0","21.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-02-24","12.30",,"0.03","0.5","11.0","14","25","7","  330","  330","32.0","48.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-02-25","8.95",,"0.00","0.0","11.0","10","13","-2","  300","  310","21.0","30.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-02-26","7.16",,"0.00","0.0","11.0","2","8","-9","   10","  360","16.1","19.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-02-27","5.82",,"0.00","0.0","11.0","1","20","-19","  240","  240","14.1","21.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-02-28","7.38",,"0.00","0.0","11.0","11","28","0","  260","  250","15.0","21.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-03-01","7.16",,"0.00","0.0","11.0","18","29","5","  230","  240","16.1","21.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-03-02","7.38",,"0.00","0.0","11.0","23","29","0","  310","  310","18.1","30.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-03-03","6.71",,"0.35","3.5","11.0","13","28","-5","  280","  300","16.1","25.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-03-04","9.17",,"0.00","0.0","14.2","21","26","2","  310","  320","18.1","25.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-03-05","4.47",,"0.00","0.0","14.2","6","17","-12","  310","  320","14.1","18.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-03-06","10.51",,"0.00","0.0","14.2","8","31","-12","  220","  220","19.9","25.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-03-07","6.93",,"0.00","0.0","14.2","25","34","12","  270","  290","15.0","21.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-03-08","6.04",,"0.02","0.3","14.2","27","42","15","  240","  250","18.1","25.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-03-09","7.83",,"0.00","0.0","14.2","33","50","10","  260","  270","17.0","27.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-03-10","10.74",,"0.00","0.0","7.9","44","54","38","  210","  210","18.1","23.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-03-11","9.40",,"0.00","0.0","3.1","42","49","30","  300","  310","23.0","36.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-03-12","8.28",,"0.00","0.0","0.0","31","36","24","  120","  140","17.0","21.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-03-13","7.16",,"0.00","0.0","0.0","34","42","30","  180","  180","18.1","23.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-03-14","10.96",,"0.00","0.0","0.0","36","40","29","  320","  340","21.0","33.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-03-15","8.72",,"0.00","0.0","0.0","37","51","32","  330","  330","18.1","25.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-03-16","5.37",,"0.20","0.0","0.0","45","61","35","  330","  340","18.1","25.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-03-17","15.21",,"0.00","0.0","0.0","35","37","23","  340","  320","29.1","38.9"
