"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN","WDFG","WSFG"
"CA007028754","BEAUCEVILLE, QC CA","2015-01-01","0.12",,"23","13",,
"CA007028754","BEAUCEVILLE, QC CA","2015-01-02","0.00",,"23","-2",,
"CA007028754","BEAUCEVILLE, QC CA","2015-01-03","0.24",,"13","-10",,
"CA007028754","BEAUCEVILLE, QC CA","2015-01-04","0.75",,"39","13",,
"CA007028754","BEAUCEVILLE, QC CA","2015-01-05","0.04",,"33","-9",,
"CA007028754","BEAUCEVILLE, QC CA","2015-01-06","0.00",,"5","-16",,
"CA007028754","BEAUCEVILLE, QC CA","2015-01-07","0.00",,"14","-18",,
"CA007028754","BEAUCEVILLE, QC CA","2015-01-08","0.00",,"6","-23",,
"CA007028754","BEAUCEVILLE, QC CA","2015-01-09","0.24",,"20","6",,
"CA007028754","BEAUCEVILLE, QC CA","2015-01-10","0.04",,"12","-7",,
"CA007028754","BEAUCEVILLE, QC CA","2015-01-11","0.00",,"20","10",,
"CA007028754","BEAUCEVILLE, QC CA","2015-01-12","0.12",,"28","2",,
"CA007028754","BEAUCEVILLE, QC CA","2015-01-13","0.00",,"2","-13",,
"CA007028754","BEAUCEVILLE, QC CA","2015-01-14","0.00",,"14","-25",,
"CA007028754","BEAUCEVILLE, QC CA","2015-01-15","0.00",,"19","-17",,
"CA007028754","BEAUCEVILLE, QC CA","2015-01-16","0.12",,"23","-8",,
"CA007028754","BEAUCEVILLE, QC CA","2015-01-17","0.00",,"7","-16",,
"CA007028754","BEAUCEVILLE, QC CA","2015-01-18","0.35",,"42","3",,
"CA007028754","BEAUCEVILLE, QC CA","2015-01-19","0.43",,"38","16",,
"CA007028754","BEAUCEVILLE, QC CA","2015-01-20","0.04",,"16","0",,
"CA007028754","BEAUCEVILLE, QC CA","2015-01-21","0.00",,"17","-4",,
"CA007028754","BEAUCEVILLE, QC CA","2015-01-22","0.00",,"24","-8",,
"CA007028754","BEAUCEVILLE, QC CA","2015-01-23","0.00",,"26","7",,
"CA007028754","BEAUCEVILLE, QC CA","2015-01-24","0.00",,"33","24",,
"CA007028754","BEAUCEVILLE, QC CA","2015-01-25","0.04",,"27","-1",,
"CA007028754","BEAUCEVILLE, QC CA","2015-01-26","0.00",,"8","-9",,
"CA007028754","BEAUCEVILLE, QC CA","2015-01-27","0.12",,"8","1",,
"CA007028754","BEAUCEVILLE, QC CA","2015-01-28","0.04",,"15","-4",,
"CA007028754","BEAUCEVILLE, QC CA","2015-01-29","0.00",,"26","-12",,
"CA007028754","BEAUCEVILLE, QC CA","2015-01-30","0.35",,"29","6",,
"CA007028754","BEAUCEVILLE, QC CA","2015-01-31","0.00",,"6","-6",,
"CA007028754","BEAUCEVILLE, QC CA","2015-02-01","0.04",,"2","-19",,
"CA007028754","BEAUCEVILLE, QC CA","2015-02-02","0.16",,"-2","-19",,
"CA007028754","BEAUCEVILLE, QC CA","2015-02-03","0.00",,"9","-17",,
"CA007028754","BEAUCEVILLE, QC CA","2015-02-04","0.20",,"23","-2",,
"CA007028754","BEAUCEVILLE, QC CA","2015-02-05","0.00",,"24","-12",,
"CA007028754","BEAUCEVILLE, QC CA","2015-02-06","0.00",,"8","-21",,
"CA007028754","BEAUCEVILLE, QC CA","2015-02-07","0.00",,"7","-14",,
"CA007028754","BEAUCEVILLE, QC CA","2015-02-08","0.16",,"5","-14",,
"CA007028754","BEAUCEVILLE, QC CA","2015-02-09","0.00",,"10","-4",,
"CA007028754","BEAUCEVILLE, QC CA","2015-02-10","0.00",,"21","-5",,
"CA007028754","BEAUCEVILLE, QC CA","2015-02-11","0.00",,"17","-12",,
"CA007028754","BEAUCEVILLE, QC CA","2015-02-12","0.04",,"15","3",,
"CA007028754","BEAUCEVILLE, QC CA","2015-02-13","0.04",,"3","-16",,
"CA007028754","BEAUCEVILLE, QC CA","2015-02-14","0.00",,"10","-17",,
"CA007028754","BEAUCEVILLE, QC CA","2015-02-15","0.04",,"5","-8",,
"CA007028754","BEAUCEVILLE, QC CA","2015-02-16","0.04",,"6","-10",,
"CA007028754","BEAUCEVILLE, QC CA","2015-02-17","0.00",,"13","-17",,
"CA007028754","BEAUCEVILLE, QC CA","2015-02-18","0.00",,"23","-5",,
"CA007028754","BEAUCEVILLE, QC CA","2015-02-19","0.24",,"19","2",,
"CA007028754","BEAUCEVILLE, QC CA","2015-02-20","0.08",,"11","-3",,
"CA007028754","BEAUCEVILLE, QC CA","2015-02-21","0.16",,"22","-7",,
"CA007028754","BEAUCEVILLE, QC CA","2015-02-22","0.04",,"25","12",,
"CA007028754","BEAUCEVILLE, QC CA","2015-02-23","0.00",,"19","-12",,
"CA007028754","BEAUCEVILLE, QC CA","2015-02-24","0.00",,"10","-21",,
"CA007028754","BEAUCEVILLE, QC CA","2015-02-25","0.08",,"24","0",,
"CA007028754","BEAUCEVILLE, QC CA","2015-02-26","0.00",,"7","-11",,
"CA007028754","BEAUCEVILLE, QC CA","2015-02-27","0.00",,"12","-16",,
"CA007028754","BEAUCEVILLE, QC CA","2015-02-28","0.00",,"20","-3",,
"CA007028754","BEAUCEVILLE, QC CA","2015-03-01","0.00",,"28","-5",,
"CA007028754","BEAUCEVILLE, QC CA","2015-03-02","0.08",,"24","6",,
"CA007028754","BEAUCEVILLE, QC CA","2015-03-03","0.12",,"22","1",,
"CA007028754","BEAUCEVILLE, QC CA","2015-03-04","0.12",,"31","18",,
"CA007028754","BEAUCEVILLE, QC CA","2015-03-05","0.00",,"19","-11",,
"CA007028754","BEAUCEVILLE, QC CA","2015-03-06","0.00",,"18","-19",,
"CA007028754","BEAUCEVILLE, QC CA","2015-03-07","0.00",,"24","0",,
"CA007028754","BEAUCEVILLE, QC CA","2015-03-08","0.04",,"30","13",,
"CA007028754","BEAUCEVILLE, QC CA","2015-03-09","0.08",,"31","16",,
"CA007028754","BEAUCEVILLE, QC CA","2015-03-10","0.00",,"47","16",,
"CA007028754","BEAUCEVILLE, QC CA","2015-03-11","0.04",,"44","27",,
"CA007028754","BEAUCEVILLE, QC CA","2015-03-12","0.00",,"27","9",,
"CA007028754","BEAUCEVILLE, QC CA","2015-03-13","0.00",,"26","3",,
"CA007028754","BEAUCEVILLE, QC CA","2015-03-14","0.24",,"33","18",,
"CA007028754","BEAUCEVILLE, QC CA","2015-03-15","1.30",,"24","12",,
"CA007028754","BEAUCEVILLE, QC CA","2015-03-16","0.00",,"33","-2",,
"CA007028754","BEAUCEVILLE, QC CA","2015-03-17","0.35",,"33","11",,
"CA007028754","BEAUCEVILLE, QC CA","2015-03-18","0.04",,"14","5",,
"CA007028754","BEAUCEVILLE, QC CA","2015-03-19","0.00",,"21","3",,
"CA007028754","BEAUCEVILLE, QC CA","2015-03-20","0.00",,"39","-2",,
"CA007028754","BEAUCEVILLE, QC CA","2015-03-21","0.12",,"40","12",,
"CA007028754","BEAUCEVILLE, QC CA","2015-03-22","0.04",,"12","-1",,
"CA007028754","BEAUCEVILLE, QC CA","2015-03-23","0.00",,"16","0",,
"CA007028754","BEAUCEVILLE, QC CA","2015-03-24","0.00",,"33","0",,
"CA007028754","BEAUCEVILLE, QC CA","2015-03-25","0.00",,"45","6",,
"CA007028754","BEAUCEVILLE, QC CA","2015-03-26","0.00",,"41","33",,
"CA007028754","BEAUCEVILLE, QC CA","2015-03-27","0.08",,"38","21",,
"CA007028754","BEAUCEVILLE, QC CA","2015-03-28","0.00",,"29","11",,
"CA007028754","BEAUCEVILLE, QC CA","2015-03-29","0.00",,"35","3",,
"CA007028754","BEAUCEVILLE, QC CA","2015-03-30","0.12",,"36","24",,
"CA007028754","BEAUCEVILLE, QC CA","2015-03-31","0.00",,"33","13",,
